Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
24,14,14,0,0,0,0,0,256,1251,4.89,17,81,59,580,9.83,4,1,1,21,3,0,313,372.1,379.1,342.6,178,1,1
21,16,16,0,0,0,0,0,261,1307,5.01,11,121,91,721,7.92,4,0,0,15,1,0,295,385.8,391.8,340.3,159,2,2
22,16,16,1,1,50,1,0,219,1098,5.01,7,124,107,867,8.1,6,4,1,13,0,0,279,385.5,392.5,332,143,3,3
23,15,13,0,0,0,0,0,194,883,4.55,14,105,81,709,8.75,4,1,0,18,3,0,273,354.2,360.2,313.7,138,4,4
23,16,16,383,580,5097,50,12,60,272,4.53,2,0,0,0,0,0,9,2,2,1,0,417,417.1,437.1,429.1,134,1,5
24,16,16,0,0,0,0,0,22,151,6.86,1,137,87,1479,17,12,0,0,14,0,0,247,334,340,290.5,131,1,6
23,15,15,0,0,0,0,0,304,1434,4.72,6,95,77,567,7.36,3,6,1,9,0,0,252,329.1,336.1,290.6,117,5,7
29,16,16,0,0,0,0,0,0,0,0,0,150,103,1336,12.97,10,2,1,10,0,0,192,294.6,298.6,243.1,109,1,8
30,15,15,0,1,0,0,0,0,0,0,0,168,104,1297,12.47,15,0,0,15,0,0,220,323.7,326.7,271.7,103,2,9
26,15,15,0,0,0,0,0,0,0,0,0,169,111,1386,12.49,13,0,0,13,1,0,219,329.6,332.6,274.1,102,3,10
26,16,16,0,1,0,0,0,1,-7,-7,0,163,115,1572,13.67,11,2,2,11,0,0,219,333.5,338.5,276,102,4,11
29,16,16,0,0,0,0,0,2,12,6,0,170,113,1677,14.84,8,2,2,8,0,0,213,325.9,330.9,269.4,97,5,12
25,12,12,0,0,0,0,0,175,885,5.06,10,66,50,490,9.8,4,1,0,14,2,0,226,275.5,281.5,250.5,90,6,13
23,13,12,0,0,0,0,0,215,973,4.53,12,71,55,497,9.04,1,4,2,13,2,0,225,280,288,252.5,90,7,14
25,16,16,0,0,0,0,0,0,0,0,0,138,86,1524,17.72,8,2,1,9,0,0,204,290.4,294.4,247.4,88,6,15
25,16,16,0,0,0,0,0,1,10,10,0,136,88,1377,15.65,5,0,0,5,1,0,171,258.7,261.7,214.7,88,2,16
28,16,16,0,0,0,0,0,0,0,0,0,156,116,1163,10.03,8,1,0,8,0,0,164,280.3,283.3,222.3,81,3,17
28,16,16,0,0,0,0,0,5,30,6,0,153,113,1373,12.15,9,1,1,9,1,0,194,307.3,311.3,250.8,78,7,18
25,16,16,0,0,0,0,0,0,0,0,0,147,125,1405,11.24,9,2,2,9,0,0,191,315.5,320.5,253,74,8,19
25,16,8,0,1,0,0,0,3,-8,-2.67,1,110,66,750,11.36,13,1,1,14,0,0,156,222.2,226.2,189.2,73,4,20
33,16,16,422,608,4924,35,7,33,125,3.79,3,1,1,5,5,1,10,5,4,0,2,354,355,373,361.5,71,2,21
22,16,13,0,0,0,0,0,1,13,13,0,166,111,1426,12.85,7,1,1,7,1,0,186,296.9,300.9,241.4,70,9,22
23,11,11,0,0,0,0,0,181,824,4.55,7,35,26,378,14.54,7,0,0,14,0,0,204,230.2,236.2,217.2,69,8,23
22,14,13,0,0,0,0,0,237,1168,4.93,8,55,43,296,6.88,1,0,0,9,0,0,200,243.4,249.4,221.9,65,9,24
26,16,16,0,0,0,0,0,19,157,8.26,1,130,86,1219,14.17,6,0,0,7,0,0,180,265.6,271.6,222.6,63,10,25
27,16,16,0,0,0,0,0,258,940,3.64,7,76,50,446,8.92,3,3,2,10,1,0,197,246.6,254.6,221.6,61,10,26
36,16,16,452,675,5129,34,16,31,98,3.16,3,1,1,-1,-1,0,7,2,3,0,4,341,341.9,362.9,357.4,58,3,27
26,16,3,0,0,0,0,0,94,425,4.52,5,123,87,751,8.63,7,0,0,12,0,0,190,276.6,282.6,233.1,54,11,28
24,15,8,0,0,0,0,0,192,1037,5.4,9,47,35,241,6.89,1,0,0,10,0,0,188,222.8,228.8,205.3,52,12,29
24,16,12,2,3,14,0,0,215,1059,4.93,12,18,15,99,6.6,0,1,1,12,0,0,186,201.4,205.4,193.9,51,13,30
23,16,16,345,505,4165,26,9,99,551,5.57,5,0,0,0,0,0,9,3,5,0,0,332,331.7,349.7,340.7,49,4,31
