Age,G,GS,Cmp,Att,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
23,16,16,0,2,0,0,0,287,1387,4.83,15,142,116,1005,8.66,4,1,0,19,1,0,355,471.2,477.2,413.2,215,1,1
22,15,15,265,401,3127,36,6,176,1206,6.85,7,0,0,0,0,0,9,2,7,0,0,416,415.7,429.7,421.7,152,1,2
25,15,15,0,0,0,0,0,303,1540,5.08,16,24,18,206,11.44,2,5,3,18,0,0,277,294.6,303.6,285.6,136,2,3
25,16,16,0,0,0,0,0,236,1084,4.59,16,68,49,474,9.67,3,3,2,19,0,0,266,314.8,322.8,290.3,125,3,4
24,16,16,0,0,0,0,0,301,1357,4.51,12,71,54,420,7.78,2,3,2,14,0,0,258,311.7,319.7,284.7,117,4,5
24,14,14,0,0,0,0,0,250,1135,4.54,13,63,53,519,9.79,0,4,2,13,0,0,239,292.4,300.4,265.9,99,5,6
26,16,15,0,0,0,0,0,1,-9,-9,0,185,149,1725,11.58,9,1,0,9,0,0,226,374.6,377.6,300.1,97,1,7
30,16,16,0,0,0,0,0,1,4,4,1,136,97,1229,12.67,5,1,1,6,0,0,157,254.3,258.3,205.8,80,1,8
24,16,16,0,0,0,0,0,298,1494,5.01,8,49,36,278,7.72,0,3,3,8,0,0,219,255.2,264.2,237.2,79,6,9
24,16,8,0,0,0,0,0,132,557,4.22,3,108,92,993,10.79,8,3,2,11,0,0,217,309,317,263,76,7,10
30,15,15,0,0,0,0,0,202,1018,5.04,10,29,26,247,9.5,5,2,2,15,2,0,217,242.5,250.5,229.5,76,8,11
26,16,16,388,596,4902,30,11,52,277,5.33,3,0,0,0,0,0,6,2,3,0,1,338,337.8,356.8,348.8,74,2,12
24,15,4,0,0,0,0,0,0,0,0,0,98,64,852,13.31,10,2,1,10,0,0,143,207.2,211.2,175.2,66,2,13
31,16,16,341,516,4110,31,5,75,342,4.56,3,0,0,0,0,0,8,2,3,0,1,329,328.6,341.6,333.6,65,3,14
23,14,14,0,0,0,0,0,1,8,8,0,121,86,1333,15.5,9,0,0,9,1,0,190,276.1,279.1,233.1,61,2,15
26,14,14,0,0,0,0,0,5,22,4.4,0,107,85,1053,12.39,5,1,0,5,0,0,138,222.5,225.5,180,61,3,16
24,15,15,333,495,3852,26,12,82,413,5.04,7,1,1,6,6,1,10,3,8,0,1,320,321,342,332.5,56,4,17
25,15,15,0,0,0,0,0,278,1230,4.42,7,47,37,266,7.19,2,7,4,9,0,0,196,232.6,242.6,214.1,55,9,18
27,16,16,0,0,0,0,0,2,5,2.5,0,117,90,1145,12.72,3,1,1,3,0,0,131,221,225,176,54,4,19
26,16,16,0,0,0,0,0,0,0,0,0,116,65,1190,18.31,11,1,1,11,0,0,183,248,252,215.5,54,3,20
22,13,13,0,0,0,0,0,217,1003,4.62,6,73,52,438,8.42,2,1,0,8,0,0,192,244.1,250.1,218.1,52,10,21
29,15,15,0,0,0,0,0,0,0,0,0,135,88,916,10.41,6,1,1,6,1,0,128,215.6,219.6,171.6,51,5,22
23,16,15,0,0,0,0,0,278,1137,4.09,5,45,35,287,8.2,3,0,0,8,0,0,190,225.4,231.4,207.9,50,11,23
25,15,15,0,0,0,0,0,223,857,3.84,12,49,31,207,6.68,2,3,2,14,1,0,188,219.4,227.4,203.9,48,12,24
32,14,7,0,0,0,0,0,0,0,0,0,65,43,705,16.4,9,0,0,9,0,0,125,167.5,170.5,146,48,6,25
26,16,14,0,1,0,0,0,2,4,2,0,134,94,1161,12.35,10,3,0,10,0,0,177,270.5,273.5,223.5,47,4,26
30,15,15,0,0,0,0,0,2,-3,-1.5,0,157,99,1394,14.08,6,1,0,6,0,0,175,274.1,277.1,224.6,46,5,27
26,16,14,0,0,0,0,0,0,0,0,0,128,72,1202,16.69,9,0,0,9,0,0,174,246.2,249.2,210.2,45,6,28
